Rarity,Name,Description
Epic,"A Quick Death","Using Execute or Kill Shot now grants you A Quick Death.    A Quick Death Melee and ranged haste increased by 3%. Stacks up to 5 times and lasts 15 sec."
Epic,"Abyssal Ward","Teaches you: Abyssal Ward    Abyssal Ward 20 yd range 1.5 min cooldown 16 Mana This spell belongs to Cultist    Coalesce an Abyssal Ward reducing your damage taken by 50% for 10 sec or 5 attacks. For the duration, each attack received will decrease the value by 10%.    Usable while stunned."
Epic,"Accelerated Ascension","Reduces the cooldown of Holy Fire by 3 seconds and increases its damage over time by 50%."
Epic,"Adumbral Companion","Your Tamed Pet's auto attacks now deal Shadow damage.    Your Tamed Pet's auto attacks can only be transformed to one damage type at once.    Tamed Pet includes Summoned Demon, Enslave Demon, Dominate Undead, Tame Dragonkin, Tether Elemental, Summoned Ghoul, and Tame Beast."
Epic,"Aegis Overdrive","Requires Mana-Forged Barrier.    Activating Mana Shield triggers Aegis Explosion. When Mana Shield expires or is fully depleted by damage, it triggers Aegis Explosion again.    Dodging, blocking or parrying an attack has a 20% chance to trigger Aegis Explosion while Mana Shield is active, this can only occur once every 5 seconds.    The activation explosion can not occur more than once every 4 sec."
Epic,"Afflicted Soul","Dealing damage with Drain Soul now applies Afflicted Soul, and consumes 12 stacks to apply Ruptured Soul.      Ruptured Soul You deal 25% increased periodic Shadow damage against the target. Lasts 30 sec."
Epic,"Agonizing Coil","Death Coil deals 200% increased damage.    Drain Life or Drain Soul damage over time has an 25% chance to reduce the cooldown of Death Coil by 8 seconds.    Death Coil deals 25% increased damage against players."
Epic,"Air Strike","Teaches you: Air Strike    Air Strike 1 min cooldown 56 Mana This spell belongs to Tinker    Mark the target location for an Air Strike. After 7 sec, it deals 221 Fire damage to enemies caught within the blast.    This ability always critically strikes."
Epic,"All that is Right","When Seal of Righteousness deals damage you gain a stack of All that is Right.      All that is Right Increases the damage of your Seal of Righteousness by 7% and Seal of Vengeance by 10%. Stacks up to 5 times and lasts 12 sec.  At max stacks, the duration cannot be refreshed."
Epic,"Ambush Predator","Dealing damage with Rake or Rip has a 10% chance and Shred has a 50% chance to grant you Ambush Predator.    Ambush Predator Your next Ravage can be cast outside of Prowl, has no positional requirement, and costs 20 less energy."
Epic,"Ancient Curse","Teaches you: Ancient Curse    Ancient Curse 30 yd range 30 sec cooldown 15 Mana This spell belongs to Cultist    Curse an enemy, dealing 140 Shadow damage and increasing all Shadow damage they take from you by 10% for 10 sec."
Epic,"Apotheosis","Teaches you: Apotheosis    Apotheosis 2 min cooldown This spell belongs to Bloodmage    Enter a blood trance for 10 sec, healing for 100% of all damage dealt.    While active, you suffer 10% of your maximum health as damage every sec."
Epic,"Arcane Arrows","Dealing damage with Arcane Missiles grants a charge or Arcane Arrows making your Auto Shot fire an additional projectile dealing arcane damage. Holds up to 10 charges. Lasts 15 seconds."
Epic,"Arcane Charge","Charge and Feral Charge deal 8 Arcane damage to nearby enemies on impact, instantly restoring 3% of your missing mana and granting nearby allies Charged Brilliance, restoring 3% missing mana every second for 6 sec."
Epic,"Arcane Gunslinger","Arcane Shot now grants you Arcane Gunslinger.      Arcane Gunslinger Your Arcane Barrage deals 25% increased damage and has a 50% chance to grant you Missile Barrage. Aimed Shot deals 30% increased damage against monsters. Stacks up to 2 times and lasts 8 sec or until you gain Missile Barrage.    Aimed Shot deals 4% increased damage against players.      Missile Barrage Reduces the channeled duration of your next Arcane Missiles spell by 2.5 sec, reduces the mana cost by 100%, and the missiles fire every 0.4 sec. Lasts for 15 sec."
Epic,"Arcane Infusion","Increases critical strike chance of Arcane Shot by 15%.    Requires  Missile Barrage (Rank 3)  Casting Arcane Shot grants you Arcane Infusion.    Arcane Infusion Grants you Missile Barrage at 3 stacks. Lasts 12 sec.    Missile Barrage Reduces the channeled duration of your next Arcane Missiles spell by 2.5 sec, reduces the mana cost by 100%, and the missiles fire every 0.4 sec. Lasts for 15 sec."
Epic,"Arcane Motes","Your Arcane Missiles and Arcane Barrage now generate Arcane Motes.    Arcane Motes Increases the damage of your Starfire, Moonfire by 10%. Stacks up to 5. Lasts 8 sec."
Epic,"Arcane Reloading","Dealing damage with Arcane Missiles reduces the active cooldown of Aimed Shot by 1.5 seconds."
Epic,"Arcane Shelling","Dealing damage with Arcane Shot now grants you Arcane Shelling.    Arcane Shelling Your Arcane Barrage and Aimed Shot deal 30% increased damage. Stacks up to 3 times and lasts for 20 sec."
Epic,"Arcane Synergy","Arcane Missiles now grant you Arcane Synergy.    Arcane Synergy The cast time of your next Starfire is reduced by 5%, and its damage increased by 5%. Stacks up to 20. Lasts 15 sec."
Epic,"Arcane Thunder","Arcane Missiles now channels for 2 more seconds. While channeling, your Lightning Bolt is transformed into Thunder Bolt and its damage is increased by 30%.  You can no longer trigger Missile Barrage.    Thunder Bolt Casts a bolt of arcane infused lightning at the target for 11 to 12 Spellstorm damage.     This spell is castable during the channeling of Arcane Missiles."
Epic,"Arcane Vanguard","Dealing direct damage with Arcane Blast marks the target with Arcane Breach for 12 sec.    Casting Charge or Intercept on a target marked by you consumes Arcane Breach, triggers your highest known rank of Arcane Explosion 750 milliseconds later, and reduces the remaining cooldown of Blink by 5 sec."
Epic,"Arctic Stalker","Dealing damage with Aimed Shot or Steady Shot reduces the remaining cooldown of Deep Freeze by 1 sec."
Epic,"Armor of Faith","When you cast Greater Heal or Flash Heal on an ally with Weakened Soul, they receive Armor of Faith, which heals them the next time they take damage. This healing is equal to 20% of the heal that granted them Armor of Faith.    Heals for 50% when triggered by player damage"
Epic,"Arrow of the Goddess","Teaches you: Arrow of the Goddess    Arrow of the Goddess 1 min cooldown 2 sec cast This spell belongs to Starcaller    Fire a star-infused arrow in a line, dealing 250% Ranged Weapon Damage as Arcane to enemies struck."
Epic,"Arterial Bind","Teaches you: Arterial Bind    Arterial Bind 25 yd range 2 min cooldown 12 Health This spell belongs to Bloodmage    Place a pool of blood on the ground beneath enemies and allies, healing allies for 100 every 1 sec and silencing all enemies for 4 sec."
Epic,"Arugal's Tainted Arcanum","Dealing damage with Arcane Missiles applies Tainted.      Tainted Increases your damage dealt to the target with Unstable Affliction by 65% and Curse of Agony by 65%.    Each tick consumes one charge. Stores up to 10 charges and lasts for 18 sec."
Epic,"Assuaging Shadows","Casting Shadow Dance now releases a Shadow Nova.    Shadow Nova Deals -180 Shadow damage to nearby enemies and slows them by 80% for 3 seconds."
Epic,"Astral Reconstitution","Teaches you: Astral Reconstitution    Astral Reconstitution 2 min cooldown 10 Mana This spell belongs to Starcaller    Surround yourself with lunar light, causing 30% of damage taken to be converted into mana. Holds 5 charges. Lasts 20 sec."
Epic,"Atonement","Requires  Path of Healing  Dealing direct damage with Smite or Holy Fire triggers a heal on a nearby ally for 285.    Dealing periodic damage with Holy Fire triggers a heal on a nearby ally for 15.    Heals from Atonement benefit from healing modifiers and can trigger additional effects."
Epic,"Authority","Execution Sentence periodic damage applies Authority, increasing damage taken from your next Shield of Righteousness by 10%. Stacks up to 4.     Consuming Authority reduces the damage you take by 3% per stack consumed for 8 sec.    Using Shield of Righteousness has a 20% chance to reset the cooldown of Execution Sentence."
Epic,"Avatar of Lightning","Elemental Mastery sacrifices its instant cast and mana cost reduction to reduce its cooldown by 50% and allow you to cast Lightning Bolt and Chain Lightning while moving."
Epic,"Barrage Overload","When Missile Barrage is consumed, you gain Barrage Overload.    Barrage Overload Your next Arcane Barrage causes you to overload, unleashing 1 arcane bolt per stack. Stacks up to 6 times. Lasts 10 sec."
Epic,"Bathe in Blood","Eviscerate, Envenom and Saber Slash now have a 20% chance per combo point to grant you Bathe in Blood for each of your bleeds on the target.      Bathe in Blood Your bleeds deal 7% increased damage. Stacks up to 30 times and lasts 12 sec. At max stacks, the duration cannot be refreshed."
Epic,"Battering Ram","Casting Slam now ignores 15% armor.    Slam now applies a stack of Sunder Armor.    Sunder Armor Sunders the target's armor, reducing it by 4%. Stacks up to 5 times and lasts for 30 sec. Does not stack with other similar effects."
Epic,"Battle Cultist: Firebrand","Melee critical strikes refresh your Immolate effect on the target."
Epic,"Battle Fatigue","Your Warrior Shouts, Banners and Warcry now apply Battle Fatigue to enemies within 10 yards of you.    Your physical melee attacks and abilities have a 30% chance to increase the duration of Battle Fatigue by 1 sec.     This effect can only occur once every 30 sec from Warrior Shouts or Banners.    Battle Fatigue Increases your physical damage dealt to the target by 8%. Lasts 20 sec."
Epic,"Battle Fervor","Charge now grants you Battle Fervor.    This effect can only occur once every 6 sec.    Battle Fervor Increases your haste by 15% and movement speed by 30% for 4 sec."
Epic,"Battlemage","Fireball, Frostbolt or Arcane Blast empowers your Warrior abilities to deal an additional 20% weapon damage as Fire, Frost or Arcane for 10 seconds."
