Class,Tab,Type,Name,ID,Description,RequiredLevel,RequiredClassAEInvestment,RequiredTabAEInvestment,RequiredClassPoints,RequiredAEInvestment,RequiredClassTEInvestment,RequiredTabTEInvestment,RequiredTEInvestment
DeathKnight,Blood,Talent,"Abomination's Might",53137,"Increases the attack power by 10% of party and raid members within 100 yards.      Increases your Strength by 2%.",24,0,0,0,0,0,6,15
DeathKnight,Blood,Talent,"Blade Barrier",49182,"Whenever your Blood Runes are on cooldown, you gain the Blade Barrier effect, which decreases damage taken by 5% for the next 10 sec.",10,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Bladed Armor",48978,"Increases your melee attack power by 5 for every 250 armor value you have.",12,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Blood Gorged",61154,"When you are above 75% health, you deal 10% more damage.  In addition, your attacks ignore up to 20% of your opponent's armor at all times.    The all-damage increase does not stack with Enhanced Weapon Mastery, Unending Fury, Answered Prayers, Blessed Weapons or Blood Presence. Only the highest increase applies.",40,0,0,0,0,0,12,30
DeathKnight,Blood,Talent,"Bloodworms",49027,"Reduces the chance you'll be critically hit by a melee and spells by 6%.    Your weapon hits have a 9% chance to cause the target to spawn 2-4 Bloodworms.  Bloodworms attack your enemies, healing you as they do damage for 20 sec or until killed.",20,0,0,0,0,0,9,21
DeathKnight,Blood,Talent,"Bloody Strikes",48977,"Increases the damage of Blood Strike by 15% and Heart Strike by 45%.    Increases the damage of Blood Boil by 30%.",10,0,0,0,0,0,6,12
DeathKnight,Blood,Talent,"Bloody Vengeance",48988,"Gives you a 3% bonus to physical damage you deal for 30 sec after dealing a critical strike from a weapon swing, spell, or ability.  This effect stacks up to 3 times.",24,0,0,0,0,0,6,15
DeathKnight,Blood,Talent,"Butchery",48979,"Whenever you kill an enemy that grants experience or honor, you generate up to 20 rage.      You generate 2 rage per 5 sec while in combat.",10,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Dance Lessons",102215,"Increases Dancing rune weapons's damage modifier by 25% and its duration by 4 sec.",40,0,0,40,0,0,0,0
DeathKnight,Blood,Talent,"Dark Conviction",48987,"Increases your chance to critically hit with weapons, spells and abilities by 5%.",16,0,0,0,0,0,3,6
DeathKnight,Blood,Talent,"Death Rune Mastery",49467,"Whenever you hit with Death Strike or Obliterate there is a 100% chance that the Frost and Unholy Runes will become Death Runes when they activate.    Death Runes count as a Blood, Frost or Unholy Rune.",15,0,0,0,0,0,3,6
DeathKnight,Blood,Talent,"Improved Blood Presence",50365,"Healing done to you is increased by 10% in Blood Presence.    Threat caused decreased by 20% while in Blood Presence.     Capstone Bonus: Increases the healing from your Blood Presence by an additional 3%.    Increases the damage done while in Blood Presence by an additional 8%.    While in Frost Presence or Unholy Presence, you retain 2% healing from Blood Presence.        The all-damage increase does not stack with Enhanced Weapon Mastery, Unending Fury, Answered Prayers, Blessed Weapons, Blood Gorged. Only the highest increase applies.",30,0,0,0,0,0,9,21
DeathKnight,Blood,Talent,"Improved Death Strike",62905,"Increases the damage of your Death Strike by 30%, increases its critical strike chance by 6%, and increases the healing granted by 50%.",34,0,0,0,0,0,9,24
DeathKnight,Blood,Talent,"Improved Rune Tap",48985,"Increases the health provided by Rune Tap by 100% and lowers its cooldown by 30 sec.",18,0,0,14,0,0,3,9
DeathKnight,Blood,Talent,"Might of Mograine",49023,"Increases the critical strike damage bonus of your Blood Boil, Blood Strike, Death Strike, and Heart Strike abilities by 45%.",36,0,0,0,0,0,12,27
DeathKnight,Blood,Talent,"Scent of Blood",49004,"You have a 15% chance after dodging, parrying or taking direct damage to gain the Scent of Blood effect, causing your next 3 melee hits to generate 10 rage.",10,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Spell Deflection",49145,"You have a chance equal to your Parry chance of taking 45% less damage from a direct damage spell.",18,0,0,0,0,0,3,9
DeathKnight,Blood,Talent,"Subversion",48997,"Increases the critical strike chance of Blood Strike, Scourge Strike, Heart Strike and Obliterate by 9%.    Reduces all threat generated while in Blood or Unholy Presence by 25%.",10,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Sudden Doom",49018,"Requires  Grave Coil (Rank 1)  Direct damage abilities and spells have a 9% chance to cast a free Grave Coil at your target.",20,0,0,0,0,0,9,24
DeathKnight,Blood,Talent,"Two-Handed Weapon Specialization",55107,"Increases the physical damage you deal with two-handed melee weapons by 4%.",12,0,0,0,0,0,0,0
DeathKnight,Blood,Talent,"Vendetta",49015,"Heals you for up to 6% of your maximum health whenever you kill a target that yields experience or honor.",18,0,0,0,0,0,3,9
DeathKnight,Blood,Talent,"Veteran of the Third War",49006,"Increases your total Strength by 6%, your Stamina by 3%, and your expertise by 6.",22,0,0,0,0,0,6,12
DeathKnight,Blood,Talent,"Will of the Necropolis",49189,"Damage that would take you below 35% health or taken while you are at 35% health is reduced by 15%.",36,0,0,0,0,0,12,27
DeathKnight,Frost,Talent,"Acclimation",49200,"When you are hit by a spell, you have a 30% chance to boost your resistance to that type of magic for 18 sec.  Stacks up to 3 times.",36,0,0,0,0,0,12,27
DeathKnight,Frost,Talent,"Annihilation",51468,"Increases your critical strike chance by 3%.      Your Obliterate will do its damage without consuming diseases.",16,0,0,0,0,0,3,6
DeathKnight,Frost,Talent,"Black Ice",49140,"Increases your Frost damage by 10%.    Increases your Shadow damage by 5%.",12,0,0,0,0,0,0,0
DeathKnight,Frost,Talent,"Blood of the North",54639,"Increases Blood Strike and Frost Strike damage by 10%.      Whenever you hit with Blood Strike or Pestilence there is a 100% chance that the Blood Rune will become a Death Rune when it activates.      Death Runes count as a Blood, Frost or Unholy Rune.",20,0,0,0,0,0,9,24
DeathKnight,Frost,Talent,"Chilblains",50040,"Victims of your Frost Fever disease are Chilled, reducing movement speed by 50% for 10 sec.",20,0,0,0,0,0,9,21
DeathKnight,Frost,Talent,"Chill of the Grave",49149,"Your Chains of Ice, Howling Blast, Icy Touch and Obliterate generate 5.0 additional rage.",15,0,0,0,0,0,3,9
DeathKnight,Frost,Talent,"Endless Winter",49137,"Your strength is increased by 4%.    The cost of your Mind Freeze is reduced by 20 rage.",18,0,0,0,0,0,3,9
DeathKnight,Frost,Talent,"Fortified Frost Presence",102391,"While Frost Presence is active, its Stamina bonus is increased by 4%, Armor contribution from Cloth, Leather, Mail and Plate is increased by 30%, and damage taken is reduced by an additional 4%.",34,0,0,40,0,0,0,0
DeathKnight,Frost,Talent,"Frigid Dreadplate",49186,"Reduces the chance melee attacks will hit you by 3%.",22,0,0,0,0,0,6,12
DeathKnight,Frost,Talent,"Glacier Rot",49471,"Diseased enemies take 20% more damage from your Icy Touch, Howling Blast and Frost Strike.",22,0,0,0,0,0,6,12
DeathKnight,Frost,Talent,"Guile of Gorefiend",50187,"Increases the critical strike damage bonus of your Blood Strike, Frost Strike, Howling Blast and Obliterate abilities by 45%.    Increases the duration of your Icebound Fortitude by 6 secs.",36,0,0,0,0,0,12,27
DeathKnight,Frost,Talent,"Icy Reach",55061,"Increases the range of your damaging spells by 6 yards, and the range of your Icy Touch, Chains of Ice, and Howling Blast by an additional 4 yards.    This does not stack with other similar effects.",12,0,0,0,0,0,0,0
DeathKnight,Frost,Talent,"Icy Talons",50880,"You leech heat from victims of your Frost Fever, so that when their melee attack speed is reduced, yours increases by 20% for the next 20 sec.",15,0,0,0,0,0,3,6
DeathKnight,Frost,Talent,"Improved Frost Presence",50384,"While in Blood Presence or Unholy Presence, you retain 8% stamina from Frost Presence.    Damage done to you is decreased by an additional 2% in Frost Presence.",30,0,0,0,0,0,9,21
DeathKnight,Frost,Talent,"Improved Icy Touch",49175,"Your Icy Touch does an additional 15% damage and your Frost Fever reduces melee and ranged attack speed by an additional 6%.",10,0,0,0,0,0,0,0
DeathKnight,Frost,Talent,"Killing Machine",51123,"Your melee abilities have a chance to make your next Frost spell or ability guaranteed to critically strike.  Effect occurs more often than Killing Machine (Rank 4). Frostbrand attacks neither benefit from nor consume this effect.",15,0,0,0,0,0,3,9
DeathKnight,Frost,Talent,"Merciless Combat",49024,"Increases damage done by all frost spells and abilities by 12% to targets under 35% health.",24,0,0,0,0,0,6,15
DeathKnight,Frost,Talent,"Nerves of Cold Steel",49226,"Increases your chance to hit by 5%.    Increases the damage done by your off-hand weapon by 33%.  Does not stack with Dual Wield Mastery",12,0,0,0,0,0,0,0
DeathKnight,Frost,Talent,"Rime",49188,"Increases the critical strike chance of your Icy Touch and Obliterate by 15%.    Casting Obliterate has a 45% chance to reset the cooldown on Howling Blast and cause your next Howling Blast to consume no runes.",20,0,0,0,0,0,6,15
DeathKnight,Frost,Talent,"Runic Focus",61758,"Your spell critical strikes now deal 200% damage.     This does not stack with other similar effects.   Capstone Bonus: Diseased enemies take 4% more damage from you.",16,0,0,0,0,0,6,6
DeathKnight,Frost,Talent,"Runic Power Mastery",49455,"Increases your maximum rage by 20.",24,0,0,0,0,0,6,15
DeathKnight,Frost,Talent,"Toughness",49042,"Increases your armor value from items by 10%.    Reduces the duration of all movement slowing effects by 30%.",10,0,0,0,0,0,0,0
DeathKnight,Frost,Talent,"Tundra Stalker",49202,"Your spells and abilities deal 10% more damage to targets infected with your Frost Fever.    Increases your expertise by 5.",40,0,0,0,0,0,12,30
DeathKnight,Unholy,Talent,"Anticipation",55129,"Increases your Dodge chance by 5%.    Does not stack with other Anticipation talents.",10,0,0,0,0,0,0,0
DeathKnight,Unholy,Talent,"Blood-Caked Blade",49219,"Your auto attacks have a 30% chance to cause a Blood-Caked Strike, which hits for 25% weapon damage plus 12.5% for each of your diseases on the target.",15,0,0,0,0,0,3,9
DeathKnight,Unholy,Talent,"Crypt Fever",49032,"Your Death Knight diseases also cause Crypt Fever, which increases disease damage taken by the target by 30%.",20,0,0,0,0,0,9,24
DeathKnight,Unholy,Talent,"Desecration",55666,"Your Plague Strikes and Scourge Strikes cause the Desecrated Ground effect.  Targets in the area are slowed by 50% by the grasping arms of the dead while standing on the unholy ground.  Lasts 20 sec.",15,0,0,0,0,0,6,15
DeathKnight,Unholy,Talent,"Desolation",66799,"Your Blood Strikes cause you to deal 5% additional damage with all attacks for the next 20 sec.",30,0,0,0,0,0,9,21
DeathKnight,Unholy,Talent,"Dirge",49223,"Your Death Strike, Plague Strike and Scourge Strike generate 5.0 additional rage.",10,0,0,0,0,0,6,12
DeathKnight,Unholy,Talent,"Ebon Plaguebringer",51099,"Increases your critical strike chance by 3%.    Your Crypt Fever morphs into Ebon Plague, which increases magic damage taken by 13% in addition to increasing disease damage taken.",25,0,0,0,0,0,12,27
DeathKnight,Unholy,Talent,"Epidemic",49036,"Increases the duration of Blood Plague and Frost Fever by 6 sec.",10,0,0,0,0,0,0,0
DeathKnight,Unholy,Talent,"Frenzied Unholy Presence",102227,"Increases your attack speed benefit of Unholy Presence by 10%.",34,0,0,40,0,0,0,0
