Class,Tab,Type,Name,ID,Description,RequiredLevel,RequiredClassAEInvestment,RequiredTabAEInvestment,RequiredClassPoints,RequiredAEInvestment,RequiredClassTEInvestment,RequiredTabTEInvestment,RequiredTEInvestment
DeathKnight,Blood,Ability,"Blood Boil",48721,"Boils the blood of all enemies within 10 yards, dealing 42 to 51 Shadow damage.  Deals additional damage to targets infected with Blood Plague or Frost Fever.",16,0,0,12,14,0,0,0
DeathKnight,Blood,Ability,"Blood Presence",48266,"Strengthens you with the presence of blood, increasing damage by 2% and heals you for 2% of your damage dealt.    Only one Presence may be active at a time.    Heals up to a maximum of 5% of your health per hit.",1,0,0,0,0,0,0,0
DeathKnight,Blood,Ability,"Blood Strike",45902,"Instantly strike the enemy, causing 40% weapon damage plus 12, total damage increased by 12.5% for each of your diseases on the target.",1,0,0,0,0,0,0,0
DeathKnight,Blood,Ability,"Blood Tap",45529,"Immediately activates a Blood Rune and converts it into a Death Rune for the next 20 sec.  Death Runes count as a Blood, Frost or Unholy Rune.",18,0,0,26,16,0,0,0
DeathKnight,Blood,Ability,"Dancing Rune Weapon",49028,"Summons a second rune weapon that fights on its own for 8 sec, doing the same attacks as you but for 75% reduced damage.",40,0,0,40,38,0,15,30
DeathKnight,Blood,Ability,"Death Pact",48743,"Sacrifices an undead minion, healing you for 20% of its maximum health.",22,0,0,32,20,0,0,0
DeathKnight,Blood,Ability,"Heart Strike",55050,"Instantly strike the target and his nearest ally, causing 50% weapon damage plus 69 on the primary target, and 25% weapon damage plus 35 on the secondary target.  Each target takes 10% additional damage for each of your diseases active on that target.",36,0,0,0,34,0,12,27
DeathKnight,Blood,Ability,"Hysteria",49016,"Induces a friendly unit into a killing frenzy for 30 sec. The target is Enraged, which increases their physical damage by 15%, but causes them to lose health equal to 1% of their maximum health every second.",30,0,0,40,28,0,9,21
DeathKnight,Blood,Ability,"Mark of Blood",49005,"Place a Mark of Blood on an enemy.  Whenever the marked enemy deals damage to a target, that target is healed for 4% of its maximum health.  Lasts for 20 sec or up to 20 hits.",22,0,0,32,20,0,6,12
DeathKnight,Blood,Ability,"Pestilence",50842,"Spreads existing Blood Plague and Frost Fever infections from your target to all other enemies within 10 yards.",10,0,0,2,8,0,0,0
DeathKnight,Blood,Ability,"Rune of Cinderglacier",53341,"Affixes your rune weapon with a rune that has a chance to cause your target to take 20% increased Frost and Shadow damage from you.  Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Lichbane",53331,"Affixes your rune weapon with a rune that adds 2% extra weapon damage as Fire damage or 4% versus Undead targets.     Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Razorice",53343,"Affixes your weapon with a rune that causes 2% extra weapon damage as Frost damage and increases enemies' vulnerability to your Frost attacks.    Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Spellbreaking",54447,"Affixes your one-handed rune weapon with a rune that deflects 2% of all spell damage and reduces the duration of Silence effects by 50% (not cumulative with additional Silence duration reduction).    Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Spellshattering",53342,"Affixes your two-handed rune weapon with a rune that deflects 4% of all spell damage and reduces the duration of Silence effects by 50%.     Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Swordbreaking",54446,"Affixes your one-handed rune weapon with a rune that increases Parry chance by 2% and reduces the duration of Disarm effects by 50%.  Modifying your rune weapon requires a Rune Forge in Ebon Hold.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of Swordshattering",53323,"Affixes your two-handed rune weapon with a rune that increases Parry chance by 4% and reduces the duration of Disarm effects by 50%.      Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of the Fallen Crusader",53344,"Affixes your rune weapon with a rune that has a chance to heal you for 3% of your maximum health and increase total Strength by 15% for 15 sec.    Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of the Nerubian Carapace",70164,"Affixes your rune weapon with a rune that increases Defense by 13 and total Stamina by 1%.    Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune of the Stoneskin Gargoyle",62158,"Affixes your two-handed rune weapon with a rune that increases Defense by 25 and total Stamina by 2%.    Requires a Rune Forge.",20,0,0,32,18,0,0,0
DeathKnight,Blood,Ability,"Rune Tap",48982,"Converts 1 Blood Rune into 10% of your maximum health.",16,0,0,14,14,0,3,6
DeathKnight,Blood,Ability,"Runeforging Mastery",53428,"You gain Runeforging Mastery when learning any Runeforge Spell.     This Mastery automatically unlocks Runeforge Spells when you reach their Class Point requirements at no additional ability essence cost.      Rune of Swordshattering Affixes your two-handed weapon with a rune that increases parry chance and reduces the duration of disarms.    Rune of Lichbane Affixes your weapon with a rune that causes you to deal Fire damage with your attacks, increased versus undead.    Rune of Cinderglacier Affixes your weapon with a rune that has a chance to increase the damage of your next 2 attacks that deal Frost or Shadow damage.    Rune of Spellshattering Affixes your two-handed weapon with a rune that deflects spell damage and reduces the duration of silence efffects.    Rune of Razorice Affixes your weapon with a rune that causes extra Frost damage when you attack and causes them to be more vulnerable to your Frost attacks.    Rune of the Fallen Crusader Affixes your weapon with a rune that has a chance to heal you and increase your Strength.    Rune of the Stoneskin Gargoyle Affixes your two-handed weapon with a rune that increases your defense and Stamina.    Rune of the Nerubian Carapace Affixes your weapon with a rune that increases your defense and Stamina.",20,0,0,17,42,0,0,0
DeathKnight,Blood,Ability,"Strangulate",47476,"Strangulates an enemy, silencing them for 5 sec.  Non-player victim spellcasting is also interrupted for 3 sec.",22,0,0,32,20,0,0,0
